CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
2.87909,,2.19055,0.00702,-0.00702,Rustamkulov et al. 2022,0.14801,2.4E-4,-2.4E-4,Calculated,1.289,0.0332,-0.0332,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.90652,,2.1865,0.00721,-0.00721,Rustamkulov et al. 2022,0.14787,2.4E-4,-2.4E-4,Calculated,1.2878,0.0332,-0.0332,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.93371,,2.17368,0.00731,-0.00731,Rustamkulov et al. 2022,0.14743,2.5E-4,-2.5E-4,Calculated,1.2841,0.0331,-0.0331,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.96066,,2.16706,0.00755,-0.00755,Rustamkulov et al. 2022,0.14721,2.6E-4,-2.6E-4,Calculated,1.2821,0.033,-0.033,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
2.98739,,2.16505,0.00735,-0.00735,Rustamkulov et al. 2022,0.14714,2.5E-4,-2.5E-4,Calculated,1.2815,0.033,-0.033,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.01389,,2.16136,0.00762,-0.00762,Rustamkulov et al. 2022,0.14702,2.6E-4,-2.6E-4,Calculated,1.2804,0.033,-0.033,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.04017,,2.17013,0.0076,-0.0076,Rustamkulov et al. 2022,0.14731,2.6E-4,-2.6E-4,Calculated,1.283,0.033,-0.033,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.06624,,2.15581,0.00764,-0.00764,Rustamkulov et al. 2022,0.14683,2.6E-4,-2.6E-4,Calculated,1.2788,0.0329,-0.0329,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.09209,,2.15705,0.00779,-0.00779,Rustamkulov et al. 2022,0.14687,2.7E-4,-2.7E-4,Calculated,1.2791,0.033,-0.033,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.11774,,2.13246,0.00784,-0.00784,Rustamkulov et al. 2022,0.14603,2.7E-4,-2.7E-4,Calculated,1.2718,0.0328,-0.0328,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.14319,,2.14443,0.00824,-0.00824,Rustamkulov et al. 2022,0.14644,2.8E-4,-2.8E-4,Calculated,1.2754,0.0329,-0.0329,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.16844,,2.1417,0.0082,-0.0082,Rustamkulov et al. 2022,0.14635,2.8E-4,-2.8E-4,Calculated,1.2746,0.0328,-0.0328,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.19349,,2.13773,0.00831,-0.00831,Rustamkulov et al. 2022,0.14621,2.8E-4,-2.8E-4,Calculated,1.2734,0.0328,-0.0328,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.21836,,2.14599,0.00834,-0.00834,Rustamkulov et al. 2022,0.14649,2.8E-4,-2.8E-4,Calculated,1.2759,0.0329,-0.0329,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.24304,,2.12346,0.00859,-0.00859,Rustamkulov et al. 2022,0.14572,2.9E-4,-2.9E-4,Calculated,1.2691,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.26753,,2.11868,0.00852,-0.00852,Rustamkulov et al. 2022,0.14556,2.9E-4,-2.9E-4,Calculated,1.2677,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.29185,,2.10964,0.00867,-0.00867,Rustamkulov et al. 2022,0.14525,3.0E-4,-3.0E-4,Calculated,1.265,0.0326,-0.0326,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.31599,,2.11948,0.00887,-0.00887,Rustamkulov et al. 2022,0.14558,3.0E-4,-3.1E-4,Calculated,1.2679,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.33996,,2.11349,0.009,-0.009,Rustamkulov et al. 2022,0.14538,3.1E-4,-3.1E-4,Calculated,1.2662,0.0326,-0.0326,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.36376,,2.1351,0.00925,-0.00925,Rustamkulov et al. 2022,0.14612,3.2E-4,-3.2E-4,Calculated,1.2726,0.0328,-0.0328,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.38739,,2.12959,0.00921,-0.00921,Rustamkulov et al. 2022,0.14593,3.2E-4,-3.2E-4,Calculated,1.271,0.0328,-0.0328,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.41086,,2.11763,0.00946,-0.00946,Rustamkulov et al. 2022,0.14552,3.2E-4,-3.3E-4,Calculated,1.2674,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.43417,,2.12591,0.00954,-0.00954,Rustamkulov et al. 2022,0.14581,3.3E-4,-3.3E-4,Calculated,1.2699,0.0328,-0.0328,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.45732,,2.11571,0.00954,-0.00954,Rustamkulov et al. 2022,0.14545,3.3E-4,-3.3E-4,Calculated,1.2668,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.48032,,2.12523,0.00982,-0.00982,Rustamkulov et al. 2022,0.14578,3.4E-4,-3.4E-4,Calculated,1.2697,0.0328,-0.0328,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.50317,,2.11163,0.00981,-0.00981,Rustamkulov et al. 2022,0.14531,3.4E-4,-3.4E-4,Calculated,1.2656,0.0327,-0.0327,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.52587,,2.12337,0.01,-0.01,Rustamkulov et al. 2022,0.14572,3.4E-4,-3.4E-4,Calculated,1.2691,0.0328,-0.0328,Calculated,,,,0.895,0.023,-0.023,Faedi et al. 2011
